Key,Type,Desc,English,French,Spanish,German,Russian,Italian,Chinese Simplified,Japanese,Korean,Brazilian Portuguese,Turkish,Thai,Indonesian,Polish,Ukrainian,Arabic,Portuguese,Lithuanian
MENU/ADVANCEDVIDEO/Custom,Text,,Custom,Personnalisé,Personalizado,Angepasst,пользовательские настройки,Personalizzata,自定义,カスタム,사용자 설정,Personalizada,Özel,แบบกำหนดเอง,Sesuaikan,Niestandardowa,Налаштування користувача,مخصص,Personalizada,Pritaikytas
MENU/ADVANCEDVIDEO/DepthOfField,Text,,Depth of Field,Profondeur de champ,Profundidad de campo,Tiefenschärfe,Глубина резкости,Profondità di campo,景深,被写界深度,필드 깊이,Profundidade de campo,Alan Derinliği,ระยะชัดลึก,Kedalaman Ruang,Głębia ostrości,Глибина різкості,عمق الميدان,Profundidade de campo,Ryškumo gylis
MENU/ADVANCEDVIDEO/HDR,Text,,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,HDR,JDT,HDR,HDR,HDR,HDR,HDR
MENU/ADVANCEDVIDEO/High,Text,,High,Élevé,Alto,Hoch,Высокое качество,Alta,高,高,높음,Alto,Yüksek,สูง,Tinggi,Wysoka,Високі,مرتفع,Alta,Aukštos kokybės
MENU/ADVANCEDVIDEO/Low,Text,,Low,Faible,Bajo,Niedrig,Низкое качество,Bassa,低,低,낮음,Baixo,Düşük,ต่ำ,Rendah,Niska,Низькі,منخفض,Baixa,Žemos kokybės
MENU/ADVANCEDVIDEO/Medium,Text,,Medium,Moyen,Normal,Mittel,Среднее качество,Media,中等,普通,중간,Médio,Orta,ปานกลาง,Sedang,Średnia,Середні,متوسط,Média,Vidutinės kokybės
MENU/ADVANCEDVIDEO/Preset,Text,,Preset,Préréglages,Preestablecidos,Standard,Предварительные установки,Predefinite,默认,プリセット,사전 설정,Predefinição,Ön Ayar,ค่าที่ตั้งไว้ล่วงหน้า,Preset,Ustawienia wstępne,Заготовка,التعيين المسبق,Predefinição,Išankstinė nuostata
MENU/ADVANCEDVIDEO/Shadow Quality,Text,,Shadow Quality,Qualité des ombres,Calidad de sombras,Schatten-Qualität,Качество теней,Qualità ombre,阴影质量,影の質,그림자 품질,Qualidade das sombras,Gölge Kalitesi,คุณภาพเงา,Kualitas Bayangan,Jakość cieni,Якість тіней,جودة الظلال,Qualidade das sombras,Šešėlio kokybė
MENU/ADVANCEDVIDEO/Texture Quality,Text,,Texture Quality,Qualité des textures,Calidad de textura,Textur-Qualität,Качество текстур,Qualità texture,贴图质量,テクスチャの質,텍스처 품질,Qualidade das texturas,Yapı Kalitesi,คุณภาพของพื้นผิว,Kualitas Tekstur,Jakość tekstur,Якість текстур,جودة الشكل,Qualidade das texturas,Tekstūros kokybė
MENU/ADVANCEDVIDEO/Ultra,Text,,Ultra,Ultra,Ultra,Ultra,Самое высокое качество,Ultra,非常高,ウルトラ,울트라,Ultra,Çok Yüksek,อัลตร้า,Ultra,Ultra,Ультра,فائق,Ultra,Aukščiausios kokybės
MENU/ADVANCEDVIDEO/Very Low,Text,,Very Low,Très faible,Muy bajo,Sehr niedrig,Очень низкое качество,Molto bassa,非常低,最低,매우 낮음,Muito baixo,Çok Düşük,ต่ำมาก,Sangat rendah,Bardzo niska,Дуже низькі,منخفض جدًا,Muito baixa,Žemiausios kokybės
MENU/ADVANCEDVIDEO/VSync,Text,,VSync,Synchronisation verticale,SincV,VSync,Верт. синхронизация,V-sync,垂直同步,VSync,VSync,VSync,VSync,VSync,VSync,Synchronizacja pionowa,Вертикальна синхронізація,تزامن عمودي,VSync,V. Sinchronizacija
MENU/AUDIO/Audio,Text,,Audio,Audio,Sonido,Audio,Звук,Audio,声音,オーディオ,오디오,Áudio,Ses,เสียง,Audio,Dźwięk,Аудіо,صوت,Áudio,Garsas
MENU/AUDIO/FX Volume,Text,,FX Volume,Volume effets sonores,Volumen de efectos,Geräusche-Lautstärke,Громкость звуковых эффектов,Volume effetti sonori,特效音量,SFX音量,FX 볼륨,Volume dos efeitos,FX Ses,ระดับเสียงเอฟเฟค,Volume FX,Głośność efektów,Гучність звукових ефектів,حجم صوت التأثيرات,Volume dos efeitos,FX garsumas
MENU/AUDIO/Master Volume,Text,,Master Volume,Volume général,Volumen general,Hauptlautstärke,Общая громкость,Volume principale,主音量,マスター音量,마스터 볼륨,Volume principal,Ana Ses,ระดับเสียงหลัก,Volume Utama,Głośność ogólna,Загальна гучність,حجم الصوت الرئيسي,Volume principal,Pagrindinis garsumas
MENU/AUDIO/Music Volume,Text,,Music Volume,Volume musique,Volumen de la música,Musiklautstärke,Громкость музыки,Volume musica,音乐音量,音楽音量,음악 볼륨,Volume da música,Müzik Sesi,ระดับเสียงเพลง,Volume Musik,Głośność muzyki,Гучність музики,حجم صوت الموسيقى,Volume da música,Muzikos garsumas
MENU/AUDIO/Subtitles,Text,,Subtitles,Sous-titres,Subtítulos,Untertitel,Субтитры,Sottotitoli,字幕,字幕,자막,Legendas,Altyazılar,คำบรรยาย,Sulih Teks,Napisy,Субтитри,العناوين الفرعية,Legendas,Subtitrai
MENU/AUDIO/Voice Volume,Text,,Voice Volume,Volume de la voix,Volumen de la voz,Stimmen-Lautstärke,Громкость голоса,Volume voci,对话音量,ボイス音量,음성 볼륨,Volume da voz,Konuşma Sesi,ระดับเสียงพูด,Volume Suara,Głośność głosów,Гучність голосів,حجم صوت الصوت,Volume das vozes,Balso garsumas
MENU/COMMON/BACK,Text,,BACK,RETOUR,ATRÁS,ZURÜCK,НАЗАД,INDIETRO,返回,もどる,뒤로 가기,VOLTAR,GERİ DÖN,ย้อนกลับ,KEMBALI,WRÓĆ,НАЗАД,رجوع,VOLTAR,ATGAL
MENU/COMMON/Disabled,Text,,Disabled,Désactivé,Desactivado,Deaktiviert,Отключено,Off,关闭,オフ,사용 안 함,Desabilitado,Devre Dışı,ถูกปิดใช้งาน,Nonaktifkan,Wyłączone,Виключено,مُعطل,Desativado,Išjungta
MENU/COMMON/Enabled,Text,,Enabled,Activé,Activado,Aktiviert,Включено,On,启用,オン,사용,Habilitado,Etkin,เปิดใช้งาน,Aktifkan,Włączone,Включено,ممكّن,Ativado,Įjungta
MENU/COMMON/OPTIONS,Text,,OPTIONS,OPTIONS,OPCIONES,OPTIONEN,ОПЦИИ,OPZIONI,设置,オプション,옵션,OPÇÕES,SEÇENEKLER,ตัวเลือก,PILIHAN,OPCJE,ОПЦІЇ,خيارات,OPÇÕES,PARINKTYS
MENU/CONFIGUREKEYS/Configure Keys,Text,,Configure Keys,Configuration des touches,Configurar teclas,Tasten einstellen,Назначить клавиши,Configura tasti,设置键位,キーコンフィグ,키 구성,Configurar teclas,Tuşları Yapılandır,คีย์การตั้งค่าคอนฟิก,Konfigurasi Tombol,Skróty Klawiszowe,Налаштувати клавіші,مفاتيح التكوين,Configurar as teclas,Konfigūruoti klavišus
MENU/CONFIGUREKEYS/Jump,Text,,Jump,Sauter,Saltar,Springen,Прыгнуть,Salta,跳,ジャンプ,점프,Pular,Zıpla,กระโดด,Lompat,Skocz,Стрибок,قفز,Saltar,Pašokti
MENU/CONFIGUREKEYS/Left Hand Grab,Text,,Left Hand Grab,Attraper main gauche,Coger con la mano izquierda,Mit linker Hand greifen,Взять левой рукой,Presa mano sinistra,左手抓,左手でつかむ,왼손 잡기,Segurar com a mão esquerda,Sol Elle Yakala,การหยิบด้วยมือซ้าย,Raihan Tangan Kiri,Chwyt lewą ręką,Схопити лівою рукою,امسك في اليد اليسرى,Agarrar com a mão esquerda,Sugriebimas kairiąja ranka
MENU/CONFIGUREKEYS/Play Dead,Text,,Play Dead,Faire le mort,Hacerte el muerto,Tot stellen,Притвориться мертвым,Fai il morto,装死,死んだフリ,죽은 척,Fingir de morto,Ölü Oyna,แกล้งตาย,Pura-pura Mati,Udawaj martwego,Прикинутися мертвим,تمثيل وضع الموت,Fazer de morto,Apsimesti mirusiu
MENU/CONFIGUREKEYS/RESET TO DEFAULTS,Text,,RESET TO DEFAULTS,Paramètres par défaut,RESTABLECER AJUSTES PREDETERMINADOS,STANDARDWERTE WIEDERHERSTELLEN,УСТАНОВКИ ПО УМОЛЧАНИЮ,RIPRISTINA IMPOSTAZIONI PREDEFINITE,默认,デフォルトへ戻す,기본값으로 재설정,RESTAURAR PADRÕES,VARSAYILANLARA SIFIRLA,รีเซ็ตเป็นค่าเริ่มต้น,SET ULANG KE DEFAULT,USTAWIENIA DOMYŚLNE,ВІДНОВИТИ ЗА ЗАМОВЧУВАННЯМ,إعادة التعيين إلى الافتراضيات,REPOR PREDEFINIÇÕES,ATKURTI NUMATYTĄSIAS NUOSTATAS
MENU/CONFIGUREKEYS/Right Hand Grab,Text,,Right Hand Grab,Attraper main droite,Coger con la mano derecha,Mit rechter Hand greifen,Взять правой рукой,Presa mano destra,右手抓,右手でつかむ,오른손 잡기,Segurar com a mão direita,Sağ Elle Yakala,การหยิบด้วยมือขวา,Raihan Tangan Kanan,Chwyt prawą ręką,Схопити правою рукою,امسك في اليد اليمنى,Agarrar com a mão direita,Sugriebimas dešiniąja ranka
MENU/CONFIGUREKEYS/Walk Back,Text,,Walk Back,Reculer,Caminar hacia atrás,Nach hinten gehen,Идти назад,Cammina indietro,向后走,後進,뒤로 걷기,Andar para trás,Geri Yürü,เดินย้อนกลับไป,Mundur,Idź w tył,Йти назад,السير للخلف,Caminhar para trás,Eiti atgal
MENU/CONFIGUREKEYS/Walk Forward,Text,,Walk Forward,Avancer,Caminar hacia delante,Nach vorne gehen,Идти вперед,Cammina in avanti,向前走,前進,앞으로 걷기,Andar para a frente,İleri Yürü,เดินไปข้างหน้า,Maju,Idź naprzód,Йти вперед,السير للأمام,Caminhar para a frente,Eiti pirmyn
MENU/CONFIGUREKEYS/Walk Left,Text,,Walk Left,Aller à gauche,Caminar hacia la izquierda,Nach links gehen,Идти влево,Cammina a sinistra,向左走,左に移動,왼쪽으로 걷기,Andar para a esquerda,Sola Yürü,เดินไปทางซ้าย,Ke Kiri,Idź w lewo,Йти вліво,السير لليسار,Caminhar para a esquerda,Eiti į kairę
MENU/CONFIGUREKEYS/Walk Right,Text,,Walk Right,Aller à droite,Caminar hacia la derecha,Nach rechts gehen,Идти вправо,Cammina a destra,向右走,右に移動,오른쪽으로 걷기,Andar para a direita,Sağa Yürü,เดินไปทางขวา,Ke Kanan,Idź w prawo,Йти вправо,السير لليمين,Caminhar para a direita,Eiti į dešinę
MENU/CONTROLLER/Controller,Text,,Controller,Manette,Mando,Controller,Контроллер,Controller,游戏手柄,コントローラー,컨트롤러,Controlador,Kumanda,ตัวควบคุม,Pengontrol,Kontroler,Контролер,وحدة التحكم,Comando,Valdiklis
MENU/CONTROLLER/Follow Stick,Text,,Follow Stick,Suivre le stick,Seguimiento con stick,Dem Stick folgen,За джойстиком,Segui levetta,跟随摇杆,タイプA,스틱 따라가기,Seguir o analógico,Çubuğu İzle,ตามจอยสติ๊ก,Ikuti Stick,Za drążkiem,За джойстиком,متابعة بالعصا,Seguir analógico,Paskui valdiklio svirtį
MENU/CONTROLLER/Follow Stick_PS4,Text,,Follow Stick,Suivre le joystick,Seguimiento con joystick,Dem Stick folgen,За джойстиком,Segui levetta,跟随摇杆,タイプA,스틱 따라가기,Siga a vareta,Çubuğu İzle,ตามติด,Ikuti Batang,Za drążkiem,За джойстиком,,Seguir analógico,Sekti lazdą
MENU/CONTROLLER/Follow Stick_Switch,Text,,Follow Stick,Suivre le stick,Seguimiento con palanca,Dem Stick folgen,За джойстиком,Segui levetta,跟随摇杆,タイプA,스틱 따라가기,Siga a vareta,Çubuğu İzle,ตามติด,Ikuti Batang,Za drążkiem,За джойстиком,,Seguir analógico,Sekti lazdą
MENU/CONTROLLER/Follow Stick_XB1,Text,,Follow Stick,Suivre le stick analogique,Seguimiento con stick,Dem Stick folgen,За джойстиком,Segui levetta,跟随摇杆,タイプA,스틱 따라가기,Siga a vareta,Çubuğu İzle,ตามติด,Ikuti Batang,Za drążkiem,За джойстиком,,Seguir analógico,Sekti lazdą
MENU/CONTROLLER/Horizontal Sensitivity,Text,,H. Sensitivity,Sensibilité hor.,Sensibilidad H.,H. Empfindlichkeit,Гор. чувствительность,Sensibilità oriz.,水平灵敏度,ヨコ感度,H. 감도,Sensibilidade H.,Yty Hassasiyet,ความไวแนวนอน,H. Sensitivitas,H. Czułość,Горизонтальна чутливість,H. الحساسية,Sensibilidade H,H. jautrumas
MENU/CONTROLLER/HorizontalInvertLook,Text,,H. Look Invert,Inverser l'axe horizontal,Vista h. invertida,Horizontal-Ansicht umkehren,Гориз. инверсия,Visuale O. invertita,横向外观反转,ヨコ視点反転,수평 시야 반전,Inverter Eixo H.,Yatay Bakışı Ters Çevir,ดูย้อนกลับแนวนอน,Inversi Tampilan H.,Odwróć widok (poziomo),Гориз. інверсія,,Inverter Visão H.,Hor. vaizdo apvertimas
MENU/CONTROLLER/VerticalInvertLook,Text,,V. Look Invert,Inverser l'axe vertical,Vista v. invertida,Vertikal-Ansicht umkehren,Верт. инверсия,Visuale V. invertita,纵向外观反转,タテ視点反転,수직 시야 반전,Inverter Eixo V.,Dikey Bakışı Ters Çevir,ดูย้อนกลับแนวตั้ง,Inversi Tampilan V.,Odwróć widok (pionowo),Верт. інверсія,,Inverter Visão V.,Ver. vaizdo apvertimas
MENU/CONTROLLER/Invert Look,Text,,Invert Look,Inverser la vue,Invertir vista,V. Sicht invertieren,Инвертир. вид,Inverti visuale,视角反转,視点反転,보기 반전,Inverter visão,Ters Bakış,การดูแบบสลับด้าน,Pembalikan Tampilan,Odwróć tr. widzenia,Інверсія огляду,عكس النظرة,Inverter olhar,Invertuoti vaizdą
MENU/CONTROLLER/Jump,Text,,Jump,Sauter,Saltar,Springen,Прыжок,Salta,跳,ジャンプ,점프,Pular, Zıpla,กระโดด,Lompat,Skocz,Стрибок,قفز,Saltar,Pašokti
MENU/CONTROLLER/Layout,Text,,Layout,Disposition,Configuración,Belegung,Раскладка,Layout,布局,レイアウト,레이아웃,Layout,Yerleşimi,เค้าโครง,Tata letak,Układ,Розкладка,التخطيط,Esquema,Išdėstymas
MENU/CONTROLLER/Left Hand Grab,Text,,{[LEFT_TRIGGER]} Left Hand Grab,{[LEFT_TRIGGER]} Attraper main gauche,{[LEFT_TRIGGER]} Coger con la mano izquierda,{[LEFT_TRIGGER]} Mit linker Hand greifen,{[LEFT_TRIGGER]} Взять левой рукой,{[LEFT_TRIGGER]} Presa mano sinistra,{[LEFT_TRIGGER]}左手抓,{[LEFT_TRIGGER]} 左手でつかむ,{[LEFT_TRIGGER]} 왼손 잡기,{[LEFT_TRIGGER]} Segurar com a mão esquerda,{[LEFT_TRIGGER]} Sol Elle Yakala,{[LEFT_TRIGGER]} การหยิบด้วยมือซ้าย,{[LEFT_TRIGGER]} Raihan Tangan Kiri,{[LEFT_TRIGGER]} Chwyt lewą ręką,{[LEFT_TRIGGER]} Схопити лівою рукою,{[LEFT_TRIGGER]} امسك في اليد اليسرى,{[LEFT_TRIGGER]} Agarrar com a mão esquerda,{[LEFT_TRIGGER]} sugriebimas kairiąja ranka
MENU/CONTROLLER/Left Hand Grab_Switch,Text,,: Left Hand Grab,: Attraper main gauche,: Coger con la mano izquierda,: Mit linker Hand greifen,: взять левой рукой,: Presa mano sinistra,: 左手抓,: 左手でつかむ,: 왼손 잡기,: Segurar com a mão esquerda,: Sol Elle Yakala,: การหยิบด้วยมือซ้าย,: Raihan Tangan Kiri,: Chwyt lewą ręką,: Схопити лівою рукою,: امسك في اليد اليسرى,: Agarrar com a mão esquerda,: sugriebimas kairiąja ranka
MENU/CONTROLLER/Lefty,Text,,Southpaw,Gaucher,Zurdo,Linkshänder,Левша,Mancino,左撇子,左利き,사우스포,Canhoto,Solak,คนถนัดมือซ้าย,Kidal,Leworęczni,Лівша,أعسر,Canhoto,Kirtis dešine
MENU/CONTROLLER/Look,Text,,Look,Regarder,Mirar,Umsehen,Взгляд,Guarda,环顾四周,見る,보기,Olhar,Bak,ดู,Lihat,Patrz,Оглянутись,النظرة,Ver,Žiūrėti
MENU/CONTROLLER/LookViewJoyCon,Text,, View Player Names, Voir le nom des joueurs, Ver nombres de jugadores, Spielernamen anzeigen, Просмотр имен игроков, Visualizza nomi giocatori, 查看玩家名字, フレンド名を表示, 플레이어 이름 보기, Ver nomes dos jogadores, Oyuncu Adlarını Görüntüle, ดูชื่อผู้เล่น, Tampilkan Nama Pemain, Zobacz nazwy graczy, Перегляд імен гравців,عرض أسماء اللاعبين, Ver nomes dos jogadores, Peržiūrėti žaidėjų vardus
MENU/CONTROLLER/LookViewLeft,Text,,{[LEFT_STICK_PRESS]} View Player Names,{[LEFT_STICK_PRESS]} Voir le nom des joueurs,{[LEFT_STICK_PRESS]} Ver nombres de jugadores,{[LEFT_STICK_PRESS]} Spielernamen anzeigen,{[LEFT_STICK_PRESS]} Просмотр имен игроков,{[LEFT_STICK_PRESS]} Visualizza nomi giocatori,{[LEFT_STICK_PRESS]}查看玩家名字,{[LEFT_STICK_PRESS]} フレンド名を表示,{[LEFT_STICK_PRESS]} 플레이어 이름 보기,{[LEFT_STICK_PRESS]} Ver nomes dos jogadores,{[LEFT_STICK_PRESS]} Oyuncu Adlarını Görüntüle,{[LEFT_STICK_PRESS]} ดูชื่อผู้เล่น,{[LEFT_STICK_PRESS]} Tampilkan Nama Pemain,{[LEFT_STICK_PRESS]} Zobacz nazwy graczy,{[LEFT_STICK_PRESS]} Перегляд імен гравців,عرض أسماء اللاعبين,{[LEFT_STICK_PRESS]} Ver nomes dos jogadores,{[LEFT_STICK_PRESS]} Peržiūrėti žaidėjų vardus
MENU/CONTROLLER/LookViewRight,Text,,{[RIGHT_STICK_PRESS]} View Player Names,{[RIGHT_STICK_PRESS]} Voir le nom des joueurs,{[RIGHT_STICK_PRESS]} Ver nombres de jugadores,{[RIGHT_STICK_PRESS]} Spielernamen anzeigen,{[RIGHT_STICK_PRESS]} Просмотр имен игроков,{[RIGHT_STICK_PRESS]} Visualizza nomi giocatori,{[RIGHT_STICK_PRESS]}查看玩家名字,{[RIGHT_STICK_PRESS]} フレンド名を表示,{[RIGHT_STICK_PRESS]} 플레이어 이름 보기,{[RIGHT_STICK_PRESS]} Ver nomes dos jogadores,{[RIGHT_STICK_PRESS]} Oyuncu Adlarını Görüntüle,{[RIGHT_STICK_PRESS]} ดูชื่อผู้เล่น,{[RIGHT_STICK_PRESS]} Tampilkan Nama Pemain,{[RIGHT_STICK_PRESS]} Zobacz nazwy graczy,{[RIGHT_STICK_PRESS]} Перегляд імен гравців,عرض أسماء اللاعبين,{[RIGHT_STICK_PRESS]} Ver nomes dos jogadores,{[RIGHT_STICK_PRESS]} Peržiūrėti žaidėjų vardus
MENU/CONTROLLER/Move,Text,,Move,Se déplacer,Mover,Bewegen,Движение,Muovi,移动,移動,이동,Mover-se,Hareket Et,ย้าย,Gerak,Przesuń,Переміщення,نقل,Movimento,Judėti
MENU/CONTROLLER/Normal,Text,,Normal,Normal,Normal,Normal,Обычная,Normale,普通,右利き,정상,Normal,Normal,ปกติ,Normal,Standardowy,Звичайний,عادي,Normal,Įprastas
MENU/CONTROLLER/Pause Menu,Text,,Pause Menu,Menu pause,Menú de pausa,Pausen-Menü,Меню паузы,Menu di pausa,暂停菜单,ポーズメニュー,일시 중지 메뉴,Menu de pausa,"Duraklatma
Menüsü",เมนูหยุดพัก,Menu Jeda,Menu pauzy,Меню паузи,قائمة الإيقاف المؤقت,Menu de pausa,"Pristabdymo
meniu"
MENU/CONTROLLER/Play Dead,Text,,Play Dead,Faire le mort,"Hacerte el
muerto",Tot stellen,"Притвориться
мертвым",Fai il morto,装死,死んだフリ,죽은 척,Fingir de morto, Ölü Oyna,แกล้งตาย,Pura-pura Mati,"Udawaj
martwego","Прикинутися
мертвим",تمثيل وضع الموت,Fazer de morto,"Apsimesti
mirusiu"
MENU/CONTROLLER/Relative,Text,,Relative,Relatif,Relativo,Relativ,Относительный,Relativo,相关,タイプB,스틱 상태 고정,Relativo,Göreceli,ตามหน้าจอ,Relatif,Względny,Відносний,نسبي,Relativo,Santykinis
MENU/CONTROLLER/Right Hand Grab,Text,,{[RIGHT_TRIGGER]} Right Hand Grab,{[RIGHT_TRIGGER]} Attraper main droite,{[RIGHT_TRIGGER]} Coger con la mano derecha,{[RIGHT_TRIGGER]}Mit rechter Hand greifen,{[RIGHT_TRIGGER]} Взять правой рукой,{[RIGHT_TRIGGER]} Presa mano destra,{[RIGHT_TRIGGER]}右手抓,{[RIGHT_TRIGGER]}右手でつかむ,{[RIGHT_TRIGGER]} 오른손 잡기,{[RIGHT_TRIGGER]} Segurar com a mão direita,{[RIGHT_TRIGGER]} Sağ Elle Yakala,{[RIGHT_TRIGGER]} การหยิบด้วยมือขวา,{[RIGHT_TRIGGER]} Raihan Tangan Kanan,{[RIGHT_TRIGGER]}Chwyt prawą ręką,{[RIGHT_TRIGGER]} Схопити правою рукою,{[RIGHT_TRIGGER]} امسك في اليد اليمنى,{[RIGHT_TRIGGER]}Agarrar com a mão direita,{[RIGHT_TRIGGER]} sugriebimas dešiniąja ranka
MENU/CONTROLLER/Right Hand Grab_Switch,Text,,: Right Hand Grab,: Attraper main droite,: Coger con la mano derecha,: Mit rechter Hand greifen,: Взять правой рукой,: Presa mano destra,: 右手抓,: 右手でつかむ,: 오른손 잡기,: Segurar com a mão direita,: Sağ Elle Yakala,: การหยิบด้วยมือขวา,: Raihan Tangan Kanan,: Chwyt prawą ręką,: Схопити правою рукою,: امسك في اليد اليمنى,: Agarrar com a mão direita,: sugriebimas dešiniąja ranka
MENU/CONTROLLER/Vertical Look Mode,Text,,V. Look Mode,Mode de vue vert.,Modo de visión V.,V. Ansichts-Modus,Верт. режим взгляда,Modalità visuale vert.,垂直观察模式,Vルックモード,V. 보기 모드,Modo de visão V.,Dky Bakış Modu,โหมดดูแนวตั้ง,V. Mode Melihat,W. Tryb widzenia,Вертикальний режим огляду,V. وضع النظرة,Modo olhar V,V. žiūrėjimo režimas
MENU/CONTROLLER/Vertical Sensitivity,Text,,V. Sensitivity,Sensibilité vert.,Sensibilidad V.,V. Empfindlichkeit,Верт. чувствительность,Sensibilità vert.,垂直灵敏度,タテ感度,V. 감도,Sensibilidade V.,Dky Hassasiyet,ความไวแนวตั้ง,V. Sensitivitas,W. Czułość,Вертикальна чутливість,V. الحساسية,Sensibilidade V,V. jautrumas
MENU/CONTROLS/CONTROLLER,Text,,CONTROLLER,MANETTE,MANDO,CONTROLLER,КОНТРОЛЛЕР,CONTROLLER,游戏手柄,ゲーム操作,컨트롤러,CONTROLADOR,KABLOSUZ KUMANDA,ตัวควบคุม,PENGONTROL,KONTROLER,КОНТРОЛЕР,وحدة التحكم,COMANDO,VALDIKLIS
MENU/CONTROLS/Controls,Text,,Controls,Commandes,Controles,Steuerung,Управление,Comandi,控制选项,ゲーム操作,제어,Controles,Kontroller,การควบคุม,Kontrol,Sterowanie,Елементи керування,عناصر التحكم,Controlos,Valdikliai
MENU/CONTROLS/KEYBOARDMOUSE,Text,,KEYBOARD/MOUSE,CLAVIER/SOURIS,TECLADO/RATÓN,TASTATUR/MAUS,КЛАВИАТУРА/МЫШЬ,TASTIERA/MOUSE,键盘/鼠标,キーボード＆マウス,키보드/마우스,TECLADO/MOUSE,KLAVYE/FARE,แป้นพิมพ์/เมาส์,KEYBOARD/MOUSE,KLAWIATURA/MYSZ,КЛАВІАТУРА/МИША,لوحة المفاتيح/الفأرة,TECLADO/RATO,KLAVIATŪRA / PELĖ
MENU/COOP/Controller,Text,,Controller {0},Manette {0},Mando {0},Controller {0},Контроллер {0},Controller {0},控制器 {0},コントローラー{0},컨트롤러 {0},Controlador {0},Kablosuz Kumanda {0},ตัวควบคุม {0},Pengontrol {0},Kontroler {0},Контролер {0},وحدة التحكم {0},Comando {0},Valdiklis {0}
MENU/COOP/Description,Text,,You may use this sequence to activate split screen in regular single player or multiplayer games. Simply raise a hand for P2 while P1 is holding his.,Vous pouvez utiliser cette séquence pour activer l'écran partagé dans les parties classiques en mode solo ou multijoueur. Le J2 doit simplement lever la main pendant que le J1 lève la sienne.,Puedes usar esta secuencia para activar la pantalla partida en partidas de uno o varios jugadores. Simplemente levanta la mano del J2 mientras el J1 tenga la suya levantada.,"Mit dieser Sequenz kannst du in normalen Einzelspieler- oder Multiplayer-Spielen den Split-Screen-Modus aktivieren. Hebe einfach eine Hand für P2, während P1 seine hochhält.","Эту последовательность можно использовать, чтобы включить режим разделения экрана во время обычной одиночной или многопользовательской игры. Для этого игрок P2 просто должен поднять руку, когда игрок P1 поднимет свою.",Puoi usare questa sequenza per attivare la modalità schermo condiviso in partite in singolo o multigiocatore. Basta alzare una mano per il G2 mentre G1 tiene su la sua.,您可以在普通单人或多人游戏中使用此顺序激活分屏模式。玩家 2 只需要在玩家 1 举手时举起。,このシークエンスを使用して、通常のシングルプレイヤーまたはマルチプレイヤーのゲームで分割画面に切り替えることができます。P2は、P1が長押ししている間に、手を上げるだけです。,일반 싱글 플레이어 또는 멀티 플레이어 게임에 분할 화면을 활성화하려면 해당 시퀀스를 사용하십시오. P1이 손을 잡는 동안 P2는 단순히 손을 듭니다.,Você pode usar essa sequência para ativar a tela dividida em jogos comuns single player ou multiplayer. Basta levantar uma mão para o P2 enquanto o P1 estiver segurando a dele.,Tek oyunculu veya çok oyunculu oyunlarda bölünmüş ekranı etkinleştirmek için bu diziyi kullanabilirsiniz. P1 basılı tutarken P2 için elini kaldırmak yeterli.,คุณอาจใช้ลำดับนี้เพื่อเปิดใช้งานหน้าจอแยกในโหมดเล่นคนเดียวตามปกติหรือโหมดเกมผู้เล่นหลายคน เพียงแค่ยกมือสำหรับ P2 ขณะ P1 กดปุ่มของเขาไว้,Kamu dapat melakukan tindakan ini untuk mengaktifkan layar belah dalam permainan pemain tunggal biasa atau multipemain. P2 cukup ikut mengangkat tangan seperti P1.,"Możesz użyć tej sekwencji, by aktywować podzielony ekran w trybie jedno lub wieloosobowym. Wystarczy, że G2 podniesie rękę, gdy G1 podnosi swoją.","Ви можете скористатися цією дією, щоб активувати розділення екрану під час звичайної поодинокої або багатокористувацької гри. Для цього гравцю P2 потрібно просто підняти руку в той час, коли у гравця P1 вона вже піднята.",يمكنك استخدام هذا التسلسل لتنشيط الشاشة المقسمة في ألعاب اللاعب الفردي العادية أو الألعاب متعددة اللاعبين. ارفع ببساطة يد اللاعب الثاني في حين يقوم اللاعب الأول بمسك يده.,Podes usar esta sequência para ativar o ecrã dividido no jogo normal para um jogador ou em jogos multijogador. Basta levantares a mão do J2 enquanto o J1 mantém o botão premido.,"Šią seką gali naudoti, kad aktyvuotum skaidyto ekrano funkciją įprastuose vieno žaidėjo arba kelių žaidėjų žaidimuose. Tiesiog pakelk ranką už P2, kol P1 laiko savąją."
MENU/COOP/Local Coop,Text,,Split Screen Game,Partie en écran partagé,Partida a pantalla partida,Split-Screen-Spiel,РЕЖИМ РАЗДЕЛЕНИЯ ЭКРАНА,Partita in schermo condiviso,分屏游戏,分割画面プレイ,화면 분할 게임,Jogo com tela dividida,Bölünmüş Ekran Oyunu,เกมแยกหน้าจอ,Permainan Dua Layar,Gra z podzielonym ekranem,Режим розділеного екрану,اللعبة في وضع الشاشة المقسمة,Jogo em ecrã dividido,Žaisti skaidytame ekrane
MENU/COOP/MouseAndKeys,Text,,Mouse & Keyboard,Souris & clavier,Teclado y ratón,Maus & Tastatur,Мышь и клавиатура,Mouse e tastiera,鼠标与键盘,マウスとキーボード,마우스 & 키보드,Mouse e teclado,Fare ve Klavye,เมาส์และแป้นพิมพ์,Mouse & Keyboard,Mysz i Klawiatura,Миша і клавіатура,الفأرة ولوحة المفاتيح,Rato e teclado,Pelė ir klaviatūra
